Price	Item title	Item description	Final URL	Image URL	ID	Item Category
378 UAH	Thalgo Thirst Quenching Shot Mask  20ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/maska/thalgo_thirst_quenching_shot_mask	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vt19024masquemasqueantisoif-458x458.jpg	VT19024	Beauty
1735 UAH	Thalgo Hydrating  Sleeping  Cream  50 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/thalgo_hydrating_sleeping_cream%20	https://healthytrends.com.ua/image/cache/catalog/uvlazhnenie/vtsoindenuitressourcant-pot50mlouvert-458x458.png	VT20009	Beauty
1482 UAH	Thalgo Hydrating  Sleeping  Cream  50 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/thalgo_hydrating%20_sleeping%20_cream_eco	https://healthytrends.com.ua/image/cache/catalog/uvlazhnenie/vteco-recharge-soindenuitressourcant-cupule50ml-458x458.png	VT20014	Beauty
1626 UAH	Thalgo Hydrating Сooling Gel-Cream  50 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/thalgo_hydrating_cooling_gel_cream	https://healthytrends.com.ua/image/cache/catalog/uvlazhnenie/vtgelcremefraicheurhydratant-pot50mlouvert-458x458.png	VT20006	Beauty
1374 UAH	Thalgo  Сooling Gel-Cream  50 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/thalgo_cooling_gel-cream	https://healthytrends.com.ua/image/cache/catalog/uvlazhnenie/vteco-recharge-gelcremefraicheurhydratant-cupule50ml-458x458.png	VT20012	Beauty
1626 UAH	Thalgo Hydrating Melting Cream  50 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/thalgo_hydrating_melting_cream	https://healthytrends.com.ua/image/cache/catalog/uvlazhnenie/vtcremefondantehydratante-pot50ml-458x458.png	VT20002	Beauty
1374 UAH	Thalgo Hydrating  Cream  50 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/thalgo_hydrating_cream	https://healthytrends.com.ua/image/cache/catalog/uvlazhnenie/vteco-recharge-cremefondantehydratante-cupule50ml-458x458.png	VT20013	Beauty
1125 UAH	Thalgo Rehydrating Booster Ampoules 7 х1 2 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/thalgo_rehydrating_booster_ampoules	https://healthytrends.com.ua/image/cache/catalog/uvlazhnenie/vtcure7jourssoshydratation-ampoule-458x458.png	VT20010	Beauty
1265 UAH	Thalgo Успокаивающий Восстанавливающий Бальзам  Thalgo Soothing Repairing Balm  50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/index.php?route=product/product&path=137&product_id=300	https://healthytrends.com.ua/image/cache/catalog/revslider_media_folder/photo_2020-03-20_16-22-57-458x458.jpg	VT18028	Thalgo
939 UAH	Thalgo Экспрес Демакияж  Thalgo Express Make-Up Remover  125ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/ekspress_demakiyazh_dlya_glaz_i_gub_express_makeup_remover	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15045demaquillantexpress125ml-458x458.jpg	VT15045	Thalgo
6175 UAH	Thalgo Эликсир Сокровища Океанов  Thalgo Regenerative Marine Intelligence Essence  30ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/eliksir_morskoy_intellekt_regenerative_marine_intelligence_essence	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt17006pdolessence-458x458.jpg	VT17006	Thalgo
2432 UAH	Thalgo Energising Detoxifying Serum Spiruline Boost  30ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/thalgo_energising_detoxifying_serum_spiruline_boost	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vt19007-458x458.jpg	VT19007	Beauty
1301 UAH	Thalgo  Energising Eye Skincare Spiruline Boost  15ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/uhod_dlya_glaz/%20thalgo_energising_eye_skincare_spiruline_boost	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vt19008-458x458.jpg	VT19008	Beauty
2097 UAH	Thalgo Energising Anti-Pollution Gel-Cream Spiruline Boost	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/energising_anti_pollution_gel_cream_spiruline_boost	https://healthytrends.com.ua/image/cache/catalog/Thalgo/large_thalgo_energizirujuschij_gel-krem_energising_anti-pollution_gel-cream_spiruline_boost-458x458.jpg	VT19006	Beauty
2944 UAH	Ренофаз Гель - Пилинг Для Умывания  200ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_renophase/gel_regulyator_dlya_ochischeniya_kozhi__7_renewpeel_gel_nettoyant	https://healthytrends.com.ua/image/cache/catalog/Renophase/gelnett-458x458.jpg	RH0002	Renophase
