price	title	description	link	image_link	id	availability	product_type
99.00 UAH	Консервы Алан Ветчина Фирменная 325г	Консервы алан ветчина фирменная 325г	https://foodlogistic.com.ua/ru/konservi-alan-shinka-firmova-325g/	https://foodlogistic.com.ua/content/images/39/350x350l80tl0/42690038253863.jpeg	1234894	in stock	Каталог
129.60 UAH	Консервы Алан Мясо Кроликов Тушеное 338г	Консервы алан мясо кроликов тушеное 338г	https://foodlogistic.com.ua/ru/konservi-alan-myaso-krolikiv-tushkovane-338g/	https://foodlogistic.com.ua/content/images/40/350x350l80tl0/92823246502482.jpeg	1234895	in stock	Каталог
109.80 UAH	Консервы Алан Свинина Тушеная 338г	Консервы алан свинина тушеная 338г	https://foodlogistic.com.ua/ru/alan-konservi-zi-svinini-tushkovanou-338g/	https://foodlogistic.com.ua/content/images/41/390x390l80tl0/31237861866372.jpeg	1234896	in stock	Каталог
103.50 UAH	Консервы Алан Говядина Тушеная 338г	Консервы алан говядина тушеная 338г	https://foodlogistic.com.ua/ru/konservi-alan-yalovichina-tushkovana-338g/	https://foodlogistic.com.ua/content/images/42/390x390l80tl0/95141966435407.jpeg	1234897	in stock	Каталог
52.20 UAH	Паштет Pata Negra с Травами 110г	Паштет pata negra с травами 110г	https://foodlogistic.com.ua/ru/pashtet-pata-negra-z-travami-110g/	https://foodlogistic.com.ua/content/images/43/390x390l80tl0/11593145477023.jpeg	1234898	in stock	Каталог
52.20 UAH	Паштет Pata Negra Pedro Ximenez 110г	Паштет pata negra pedro ximenez 110г	https://foodlogistic.com.ua/ru/pashtet-pata-negra-pedro-ximenez-110g/	https://foodlogistic.com.ua/content/images/44/390x390l80tl0/99303818411440.jpeg	1234899	in stock	Каталог
52.20 UAH	Паштет Pata Negra Пикантный Перец 110г	Паштет pata negra пикантный перец 110г	https://foodlogistic.com.ua/ru/pashtet-pata-negra-pikantniy-perets-110g/	https://foodlogistic.com.ua/content/images/45/390x390l80tl0/25016064401029.jpeg	1234900	in stock	Каталог
62.00 UAH	Паштет Pata Negra Jamon Curado 110г	Паштет pata negra хамон курадо - великолепный испанский мясной паштет с нежной консистенцией, изготовленный с добавлением хамона курадо. Мясной паштет с добавлением хамона курадо обладает восхитительным мягким вкусом, насыщенным ароматом и нежной текстурой, а также массой питательных и полезных свойств. Pata negra хамон курадо идеально сочетается со свежим хлебом, крекерами и тостами. Паштет станет незаменимым продуктом в вашем рационе, он придется к месту в любое время суток и к любому случаю, будь то утренний завтрак, перекус в течении дня или праздничная вечеринка.  Хранить в прохладном и сухом месте. После вскрытия хранить в холодильнике при температуре от 0ºC до 5ºC и употреблять в течение 5 дней.	https://foodlogistic.com.ua/ru/pashtet-pata-negra-jamon-curado-110g/	https://foodlogistic.com.ua/content/images/46/402x390l80tl0/13650450311538.jpeg	1234901	in stock	Каталог
52.20 UAH	Паштет Pata Negra Jamon York 110г	Паштет pata negra jamon york 110г	https://foodlogistic.com.ua/ru/pashtet-pata-negra-jamon-york-110g/	https://foodlogistic.com.ua/content/images/47/390x390l80tl0/16959449175317.jpeg	1234902	in stock	Каталог
52.20 UAH	Паштет Gourmet Cazorla Pata Negra Классический Из Свинины 110г	Паштет gourmet cazorla pata negra классический из свинины 110г	https://foodlogistic.com.ua/ru/pashtet-gourmet-cazorla-pata-negra-klasichniy-zi-svinini-110g/	https://foodlogistic.com.ua/content/images/48/360x360l80tl0/78100603917650.jpeg	1234903	in stock	Каталог
101.70 UAH	Паштет Frank Французский 200г	Паштет frank французский 200г	https://foodlogistic.com.ua/ru/pashtet-frank-frantsuzkiy-200g/	https://foodlogistic.com.ua/content/images/49/390x390l80tl0/11486273013914.png	1234907	in stock	Каталог
101.70 UAH	Паштет Frank с Базиликом 200г	Паштет frank с базиликом 200г	https://foodlogistic.com.ua/ru/pashtet-frank-z-bazilikom-200g/	https://foodlogistic.com.ua/content/images/50/390x390l80tl0/51729811759156.jpeg	1234908	in stock	Каталог
101.70 UAH	Паштет Frank с Изюмом и Коньяком 200г	Паштет frank с изюмом и коньяком 200г	https://foodlogistic.com.ua/ru/pashtet-frank-z-rodzinkami-i-konyakom-200g/	https://foodlogistic.com.ua/content/images/1/350x350l80tl0/29398023942261.jpeg	1234909	in stock	Каталог
92.70 UAH	Ветчина Simonini Шпек 80г	Ветчина simonini шпек 80г	https://foodlogistic.com.ua/ru/shinka-simonini-shpek-80g/	https://foodlogistic.com.ua/content/images/2/350x350l80tl0/75675914950897.jpeg	1234910	in stock	Каталог
132.30 UAH	Прошутто Parma Сыровяленое Нарезка Слайсами 80г	Прошутто parma сыровяленое нарезка слайсами 80г	https://foodlogistic.com.ua/ru/proshutto-parma-sirovyalene-narizka-slaysami-80g/	https://foodlogistic.com.ua/content/images/3/350x350l80tl0/86125084544848.jpeg	1234911	in stock	Каталог
190.80 UAH	Колбаса Алан Сервелат Сырокопченая в/с	Колбаса алан сервелат сырокопченая в/с	https://foodlogistic.com.ua/ru/kovbasa-alan-servelat-sirokopchena-v-s-375g/	https://foodlogistic.com.ua/content/images/14/390x390l80tl0/40004693272668.jpeg	1234875	in stock	Каталог
163.80 UAH	Колбаса Алан Столичная Сырокопченая в/с	Колбаса алан столичная сырокопченая в/с	https://foodlogistic.com.ua/ru/kovbasa-alan-stolichna-sirokopchena-v-s-340g/	https://foodlogistic.com.ua/content/images/15/390x390l80tl0/80427086873361.jpeg	1234876	in stock	Каталог
38.70 UAH	Колбаса Алан Неаполитанская Филейная Сыровяленая Нарезка в/с 80г	Колбаса алан неаполитанская филейная сыровяленая нарезка в/с 80г	https://foodlogistic.com.ua/ru/kovbasa-alan-neapolitanska-file-sirovyalena-narizka-v-s-80g/	https://foodlogistic.com.ua/content/images/16/350x350l80tl0/17117622793036.jpeg	1234877	in stock	Каталог
51.30 UAH	Колбаса Алан Московская Сырокопченая Нарезка в/с 80г	Колбаса алан московская сырокопченая нарезка в/с 80г	https://foodlogistic.com.ua/ru/kovbasa-alan-moskovska-sirokopchena-narizka-v-s-80g/	https://foodlogistic.com.ua/content/images/17/390x390l80tl0/88560206506321.jpeg	1234878	in stock	Каталог
133.20 UAH	Сосиски Fit Food Вегетарианские 200г	Сосиски fit food вегетарианские 200г	https://foodlogistic.com.ua/ru/sosiski-fit-food-vegetarianski-200g/	https://foodlogistic.com.ua/content/images/18/350x350l80tl0/30361676955578.jpeg	1234884	in stock	Каталог
