Код,"Альтернативный код",Бренд,Наименование,Применение,"Цена закупки","Цена продажи",Количество,Склад,"Локальный склад?","Фото детали"
393502A410,KM0900856OE,TOPIC,"Лямбда-зонд (перед катализатором)","Veracruz 06~ IX55 08~ Matrix 06~",0,1575,1,"Кременчуг - 1",1,
0520000110,10W30,KIA-HYUNDAI,"Масло моторное Classic Gold Diesel 10W30 CF4 (1L)",,0,131,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0520000110-hyundai-02.jpg
826202D000CA,,TOPIC,"Ручка передней правой двери внутренняя","Elantra 00-05",0,234,3,"Кременчуг - 1",1,
222115C000,,KIA-HYUNDAI,"Клапан впускной",HD78,0,162,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/222115c000-hyundai-02.jpg
0K88R13702,,KIA-HYUNDAI,"Прокладка турбины","Terracan 01~",0,50,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0k88r13702-kia-01.jpg
819964D040,819964D010,KIA-HYUNDAI,Ключ-заготовка,Carnival,0,311,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/819964d040-kia-01.jpg
587384H300,587384H300DS/ADG053286/J3710504,KIA-HYUNDAI,"Шланг тормозной задний правый","H-1 08~",0,234,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/587384h300-hyundai-02.jpg
826112B000HZ,,KIA-HYUNDAI,"Облицювання внутрішньої ручки лівої передньої двері","Santa Fe 09~",0,351,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/826112b000hz-kia-hyundai-01.jpg
5282045000,1411ABNAC0/5282045000C,KIA-HYUNDAI,"Сальник задней ступицы наружный",HD65/HD72,0,104,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/5282045000-mobis-02.jpg
819962J010,,KIA-HYUNDAI,"Ключ-заготовка с иммобилайзером","Mohave Borrego",0,270,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/819962j010-kia-01.jpg
KM0400005,251242E000,TOPIC,"Прокладка водяного насоса","Elantra 11~  i40 11~",0,81,3,"Кременчуг - 1",1,
96181437,029628/18215S84A30/18215SA5600/GSPD022/KG0700389/KG1000023/KSPD020/KSPD022/R80033/R80034/T1203048/80151/255217/420066/873903/96351529/1755387603/1756787704/2865824000,WALKER,"Резинка глушителя прямая",UNIV,0,23,1,"Кременчуг - 1",1,
H07FOKSD03805,CZH010/KM0700218/4144344001,KAP,"Вилка сцепления","H-100 93~ H-1 97~ Galloper 00~",0,153,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/h07foksd03805-kap-03.jpg
1879001119,,KIA-HYUNDAI,"Предохранитель 25А",Univ,0,21,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/1879001119-kia-hyundai-01.jpg
253802Z000,,KIA-HYUNDAI,"Диффузор радиатора в сборе","Tucson 14~ Sportage 14~ 1,6i 2,0i",0,4860,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/253802z000-hyundai-03.jpg
934202K050,934202K050WK,KIA-HYUNDAI,"Переключатель подрулевой (стеклоочистителя)","i40 11~  IX35 09~ Tucson 09~ Cerato 08~  Soul 09-13 Sportage 10~",0,801,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/934202k050-kia-hyundai-02.jpg
D300231300,976061D200/976061D210/DC976061D210/K00100165P/KM0500322,DOOWON,"Радиатор кондиционера","Carens 06~",0,3375,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/d300231300-doowon-07.jpg
868411Y000,,KIA-HYUNDAI,"Брызговик задний левый","Picanto 11-15",0,185,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/868411y000-kia-03.jpg
585103A055,,KIA-HYUNDAI,"Цилиндр тормозной главный","Trajet 00~ 06~",0,2439,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/585103a055-kia-hyundai-04.jpg
3382052000,,KIA-HYUNDAI,"Болт форсунки",HD,0,72,5,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/3382052000-hyundai-01.jpg
863592W000,,KIA-HYUNDAI,"Клипса решетки радиатора","SantaFe 12~",0,23,19,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/863592w000-hyundai-01.jpg
252882F000,0N2249/2051ABHDD1/GA38419/PT64072/T39277/VKM64072/102154/532065710,"OEM KOREA","Ролик заспокоєння ременя генератора","IX 35 2.0TD Sportage 2.0TD 11~",0,261,3,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/252882f000-oem-korea-02.jpg
282712A850,LRIC08Y0,KIA-HYUNDAI,Інтеркулер,"IX35 10~",0,8087,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/282712a850-kia-03.jpg
8970360400,,TOYOTA,"Замок зажигания с ключами и имобилайзером",Toyota,0,7227,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/8970360400-toyota-03.jpg
865202C000,,KIA-HYUNDAI,"Абсорбер переднего бампера","Coupe 01~",0,585,1,"Кременчуг - 1",1,
95810490100,,PORSCHE,"Б/В Головка блоку у зборі з розподільчими валами (пробіг до 20т, є VIN авто з якого головка)","3,6 Cayenne",0,37800,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/3af06cafe7a4e853d4ff11fc35fed763.jpg
10A1050C,0520101050/10X1050/6222ESC/6222MC/AVX10X1050/24435940/93182249/1987947640,DAYCO,"Ремень поликлиновый","Honda Opel",0,68,1,"Кременчуг - 1",1,
863911G000,863911G001,KIA-HYUNDAI,"Пленка стойки двери задней правой","Rio 05-11",0,63,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/863911g000-kia-hyundai-01.jpg
58731B1000,58731B1000DS,KIA-HYUNDAI,"Шланг тормозной передний левый","Genesis 3,0i 14~ 8 SPEED 2WD",0,1665,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/58731b1000-hyundai-01.jpg
